종목코드,corp_code,기업명,event_year_Y,event_date,event_source,y_minus_1_excluded
215750,01065536,미래에셋제3호기업인수목적,2018,20180104,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
217600,01070857,켐온,2022,20221216,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
217810,01072660,엔에이치기업인수목적7호,2018,20180119,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
218710,01075047,키움제3호기업인수목적,2018,20180214,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
219580,01080410,골든브릿지제3호기업인수목적,2018,20180207,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
219860,01087079,한화에이스기업인수목적2호,2018,20180302,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
219960,01089387,유안타제2호기업인수목적,2018,20180223,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
221200,01089828,유진기업인수목적3호,2018,20180417,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
220630,01089855,맘스터치앤컴퍼니,2024,20240214,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
221950,01089961,케이비드림투게더제3호기업인수목적,2018,20180330,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
222390,01090301,케이비제8호기업인수목적,2018,20180313,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
223040,01091391,교보5호기업인수목적,2018,20180330,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
225440,01094565,이베스트기업인수목적3호,2018,20180528,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
226360,01097906,케이에이치건설,2026,20260114,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
226440,01101722,시스네오텍,2026,20260313,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
225650,01102095,쿠첸,2023,20230220,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
226850,01102800,키움제4호기업인수목적,2018,20180605,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
230490,01109186,동부제4호기업인수목적,2018,20180726,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
232270,01111020,케이비제9호기업인수목적,2018,20181012,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
232330,01111570,에스케이제3호기업인수목적,2019,20190830,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
195440,01113949,퓨전,2022,20221212,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
235010,01117103,하이에이아이1호기업인수목적,2018,20181012,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
278990,01117246,EMB,2026,20260202,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
240540,01130937,한국제4호기업인수목적,2019,20190129,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
164060,01142400,이루다,2024,20241022,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
900280,01168143,케이만금세기차륜집단유한공사,2025,20250108,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
257730,01179839,신한제3호기업인수목적,2019,20191001,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
268600,01182444,셀리버리,2025,20250610,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
262830,01194759,대신밸런스제4호기업인수목적,2019,20191010,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
264290,01197428,한화에이스기업인수목적3호,2019,20191206,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
265480,01199985,미래에셋대우기업인수목적1호,2020,20200103,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
265920,01201581,한화수성기업인수목적,2020,20200115,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
271740,01234525,한국제5호기업인수목적,2020,20200303,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
276920,01243550,아이비케이에스제7호기업인수목적,2020,20200618,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
277480,01243772,신한제4호기업인수목적,2020,20200820,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
279410,01247918,한화에이스기업인수목적4호,2020,20200703,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
281410,01257526,한국제6호기업인수목적,2020,20200727,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
299910,01259056,애닉,2025,20250214,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
287410,01267602,제이시스메디칼,2025,20251013,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
291210,01277928,한국제7호기업인수목적,2021,20210115,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
307160,01326260,하나머스트제6호기업인수목적,2021,20210708,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
307070,01336285,에스케이에이씨피씨제4호기업인수목적,2021,20210713,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
310840,01336391,엔에이치기업인수목적13호,2021,20210923,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
311270,01337220,키움제5호기업인수목적,2021,20210916,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
950180,01338724,에스앤케이,2022,20220518,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
313750,01343920,유안타제4호기업인수목적,2021,20211207,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
317030,01351114,케이비제17호기업인수목적,2021,20211104,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
317320,01351822,한화에스비아이기업인수목적,2021,20211207,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
279060,01353848,이노벡스,2025,20250102,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
323210,01366365,이베스트이안기업인수목적1호,2022,20220217,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
323940,01371312,케이비제18호기업인수목적,2022,20220204,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
323230,01384477,엠에프엠코리아,2025,20250619,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
329560,01390876,상상인이안제2호기업인수목적,2022,20220404,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
330990,01393299,케이비제19호기업인수목적,2022,20220509,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
332710,01395279,하나금융14호기업인수목적,2022,20220926,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
335890,01406618,비올메디컬,2026,20260223,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
337450,01414361,에스케이제5호기업인수목적,2022,20221018,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
340120,01414370,하이제5호기업인수목적,2022,20220728,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
340350,01414936,에스케이제6호기업인수목적,2022,20221018,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
341160,01416457,하나금융15호기업인수목적,2022,20221223,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
342550,01418543,케이비제20호기업인수목적,2022,20221229,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
343510,01419384,하나금융16호기업인수목적,2023,20230302,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
344050,01419986,신영해피투모로우제6호기업인수목적,2023,20230217,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
347140,01428249,케이프이에스제4호기업인수목적,2022,20221031,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
349720,01436336,이베스트기업인수목적5호,2022,20221226,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
351340,01440481,아이비케이에스제13호기업인수목적,2023,20230221,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
353070,01447217,에이치엠씨아이비제4호기업인수목적,2023,20230310,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
353060,01447244,에이치엠씨아이비제5호기업인수목적,2023,20230922,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
353490,01450105,미래에셋대우기업인수목적5호,2023,20230517,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
367460,01504804,유안타제7호기업인수목적,2022,20221208,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
367480,01504910,유안타제8호기업인수목적,2023,20230908,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
367340,01505450,디비금융제8호기업인수목적,2023,20230717,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
367360,01505469,디비금융제9호기업인수목적,2023,20231124,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
372290,01513404,하나머스트7호기업인수목적,2024,20240219,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
373340,01514519,유진기업인수목적6호,2023,20231213,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
366330,01514528,신한제7호기업인수목적,2023,20230918,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
377400,01526949,하이제6호기업인수목적,2024,20240125,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
377630,01528530,삼성기업인수목적4호,2023,20231227,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
380320,01534522,삼성머스트기업인수목적5호,2024,20240123,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
387310,01567520,대신밸런스제10호기업인수목적,2023,20230316,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
388220,01568875,하나금융19호기업인수목적,2023,20230523,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
388800,01569838,유진기업인수목적7호,2024,20240702,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
386580,01572489,한화플러스제2호기업인수목적,2024,20240617,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
391060,01573974,엔에이치기업인수목적20호,2024,20240514,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
393360,01574760,신한제8호기업인수목적,2024,20240430,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
396770,01576713,엔에이치기업인수목적22호,2023,20230428,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
397500,01580178,대신밸런스제11호기업인수목적,2023,20230309,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
397880,01582228,교보11호기업인수목적,2024,20240325,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
400560,01583397,하나금융20호기업인수목적,2023,20230919,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
400840,01586172,하이제7호기업인수목적,2024,20240726,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
404950,01591262,디비금융제10호기업인수목적,2024,20240104,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
405350,01591606,아이비케이에스제17호기업인수목적,2023,20231103,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
406760,01593242,하나금융21호기업인수목적,2024,20241226,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
405640,01594764,신한제9호기업인수목적,2024,20240611,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
409570,01596665,한국제10호기업인수목적,2023,20230831,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
412930,01601286,미래에셋비전기업인수목적1호,2025,20250121,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
415580,01604371,상상인제3호기업인수목적,2024,20241204,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
419270,01612608,신영해피투모로우제7호기업인수목적,2024,20240425,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
418170,01613281,하나금융22호기업인수목적,2024,20241219,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
418210,01616482,신한제10호기업인수목적,2025,20250404,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
413600,01616808,키움제6호기업인수목적,2025,20250228,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
422040,01619513,엔에이치기업인수목적23호,2025,20250210,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
421800,01620713,교보12호기업인수목적,2024,20241119,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
424140,01621280,케이비제21호기업인수목적,2025,20250204,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
425290,01624162,삼성기업인수목적6호,2025,20250211,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
426670,01631658,대신밸런스제12호기업인수목적,2023,20230420,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
426550,01632851,아이비케이에스제19호기업인수목적,2024,20240215,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
427950,01652970,하나금융23호기업인수목적,2024,20240201,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
430220,01656374,신영해피투모로우제8호기업인수목적,2025,20250822,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
430230,01658266,하나금융24호기업인수목적,2024,20240903,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
430460,01663055,한화플러스제3호기업인수목적,2024,20241213,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
430700,01663639,유안타제9호기업인수목적,2025,20250317,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
433530,01667592,키움제7호기업인수목적,2025,20250307,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
435620,01669475,하나금융25호기업인수목적,2025,20250526,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
435380,01670675,유안타제10호기업인수목적,2025,20250514,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
435870,01671197,에스케이증권제8호기업인수목적,2025,20250516,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
436530,01672053,케이비제22호기업인수목적,2024,20240503,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
436610,01672114,한국제11호기업인수목적,2024,20240927,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
438580,01674468,엔에이치기업인수목적25호,2025,20250611,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
437780,01674538,엔에이치기업인수목적24호,2025,20250526,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
438220,01675014,대신밸런스제13호기업인수목적,2024,20241120,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
439250,01675227,삼성기업인수목적7호,2025,20250602,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
439410,01675254,엔에이치기업인수목적26호,2025,20250708,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
439730,01675421,아이비케이에스제20호기업인수목적,2025,20250602,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
440200,01676989,케이비제23호기업인수목적,2023,20231103,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
440820,01677429,엔에이치기업인수목적27호,2025,20250721,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
440790,01677678,교보13호기업인수목적,2025,20250711,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
442130,01678835,유진기업인수목적9호,2025,20250709,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
442770,01682740,아이비케이에스제21호기업인수목적,2025,20251117,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
442900,01683387,미래에셋드림기업인수목적1호,2025,20251023,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
445360,01689336,비엔케이제1호기업인수목적,2025,20250728,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
445970,01689938,신영해피투모로우제9호기업인수목적,2025,20250801,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
446150,01690235,유안타제12호기업인수목적,2026,20260305,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
446190,01692321,미래에셋비전기업인수목적2호,2025,20250909,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
446750,01696275,하나26호기업인수목적,2025,20251016,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
442310,01696451,대신밸런스제14호기업인수목적,2025,20250711,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
448370,01700374,하나27호기업인수목적,2025,20251113,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
448740,01700921,삼성기업인수목적8호,2025,20251014,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
448760,01701328,아이비케이에스제22호기업인수목적,2025,20251229,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
449020,01701753,유안타제13호기업인수목적,2025,20251010,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
448830,01702424,미래에셋비전기업인수목적3호,2026,20260114,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
450050,01705625,하이제8호기업인수목적,2026,20260311,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
450410,01705777,엔에이치기업인수목적28호,2023,20231221,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
454750,01724338,하나28호기업인수목적,2025,20251027,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
454640,01724417,하나29호기업인수목적,2026,20260305,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
455250,01724709,케이비제25호기업인수목적,2026,20260128,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
456440,01731453,디비금융제11호기업인수목적,2025,20250516,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
457390,01751448,대신밸런스제15호기업인수목적,2025,20250515,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
456490,01760640,교보14호기업인수목적,2026,20260210,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
458320,01766167,케이비제26호기업인수목적,2025,20250328,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
468510,01786514,삼성기업인수목적9호,2025,20250617,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
476470,01810796,케이비제28호기업인수목적,2025,20250709,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
477530,01814312,한국제14호기업인수목적,2025,20250429,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
478780,01817610,대신밸런스제18호기업인수목적,2026,20260114,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
